state,cases,deaths
Alabama,3221951,80657
Alaska,111974,1211
Arizona,5955016,142268
Arkansas,1582216,20904
California,19709463,519003
Colorado,3045332,149978
Connecticut,4438335,392209
Delaware,1021552,39868
District of Columbia,926243,47156
Florida,14487037,318365
Georgia,7113733,237287
Guam,131367,719
Hawaii,99528,1987
Idaho,652509,9826
Illinois,12671575,584102
Indiana,4146181,229199
Iowa,2411551,56585
Kansas,1318143,25088
Kentucky,1396712,51424
Louisiana,5849090,310193
Maine,272717,9592
Maryland,5785800,264966
Massachusetts,10258313,702577
Michigan,6880982,585289
Minnesota,2853111,113674
Mississippi,2353318,88131
Missouri,2056963,86270
Montana,118147,2484
Nebraska,1552103,21115
Nevada,1698263,48692
New Hampshire,498794,27930
New Jersey,17298793,1284090
New Mexico,1031870,39895
New York,41991533,3201166
North Carolina,5042873,110480
North Dakota,316401,6957
Northern Mariana Islands,2914,238
Ohio,4630896,236692
Oklahoma,1247256,37389
Oregon,769385,19485
Pennsylvania,8567736,570428
Puerto Rico,639112,2275
Rhode Island,1534629,74967
South Carolina,3004283,68679
South Dakota,573910,7264
Tennessee,3897635,51939
Texas,14564154,241301
Utah,1762270,14796
Vermont,126592,6103
Virgin Islands,22049,601
Virginia,5131431,146510
Washington,3253398,133142
West Virginia,287093,8183
Wisconsin,2630050,67112
Wyoming,132237,1647
